TIME,CHAN1
1505.0,0.296875
1507.5,0.30625
1510.0,0.30625
1512.5,0.296875
1515.0,0.30625
1517.5,0.296875
1520.0,0.30625
1522.5,0.296875
1525.0,0.30625
1527.5,-0.003125
1530.0,-0.003125
1532.5,0.00625
1535.0,-0.003125
1537.5,0.00625
1540.0,0.003125
1542.5,-0.003125
1545.0,-0.003125
1547.5,0.003125
1550.0,-0.00625
1552.5,0.30625
1555.0,0.296875
1557.5,0.30625
1560.0,0.296875
1562.5,0.30625
1565.0,0.30625
1567.5,0.296875
1570.0,0.30625
1572.5,0.296875
1575.0,0.30625
1577.5,-0.003125
1580.0,0.00625
1582.5,-0.003125
1585.0,-0.00625
1587.5,0.00625
1590.0,-0.003125
1592.5,0.003125
1595.0,-0.00625
1597.5,0.00625
1600.0,-0.003125
1602.5,0.303125
1605.0,0.296875
1607.5,0.30625
1610.0,0.296875
1612.5,0.30625
1615.0,0.30625
1617.5,0.296875
1620.0,0.30625
1622.5,0.296875
1625.0,0.30625
1627.5,-0.003125
1630.0,-0.003125
1632.5,0.00625
1635.0,-0.003125
1637.5,0.00625
1640.0,-0.003125
1642.5,0.003125
1645.0,-0.003125
1647.5,0.00625
1650.0,-0.00625
1652.5,0.303125
1655.0,0.296875
1657.5,0.30625
1660.0,0.30625
1662.5,0.296875
1665.0,0.30625
1667.5,0.296875
1670.0,0.30625
1672.5,0.296875
1675.0,0.30625
1677.5,-0.003125
1680.0,-0.003125
1682.5,0.00625
1685.0,0.00625
1687.5,-0.003125
1690.0,0.00625
1692.5,-0.00625
1695.0,0.003125
1697.5,-0.003125
1700.0,-0.00625
1702.5,0.30625
1705.0,0.296875
1707.5,0.30625
1710.0,0.30625
1712.5,0.296875
1715.0,0.30625
1717.5,0.296875
1720.0,0.30625
1722.5,0.296875
1725.0,0.30625
1727.5,-0.003125
1730.0,-0.003125
1732.5,0.00625
1735.0,0.00625
1737.5,-0.00625
1740.0,-0.00625
1742.5,0.00625
1745.0,0.003125
1747.5,-0.00625
1750.0,-0.003125
1752.5,0.303125
1755.0,0.296875
1757.5,0.30625
1760.0,0.296875
1762.5,0.30625
1765.0,0.296875
1767.5,0.30625
1770.0,0.30625
1772.5,0.296875
1775.0,0.30625
1777.5,-0.003125
1780.0,0.00625
1782.5,-0.003125
1785.0,-0.003125
1787.5,0.003125
1790.0,-0.003125
1792.5,0.00625
1795.0,0.003125
1797.5,-0.00625
1800.0,-0.003125
1802.5,0.303125
1805.0,0.296875
1807.5,0.30625
1810.0,0.296875
1812.5,0.30625
1815.0,0.30625
1817.5,0.296875
1820.0,0.30625
1822.5,0.296875
1825.0,0.30625
1827.5,-0.003125
1830.0,0.00625
1832.5,-0.003125
1835.0,0.003125
1837.5,-0.003125
1840.0,-0.003125
1842.5,0.003125
1845.0,0.003125
1847.5,-0.00625
1850.0,-0.00625
1852.5,0.303125
1855.0,0.296875
1857.5,0.30625
1860.0,0.296875
1862.5,0.30625
1865.0,0.30625
1867.5,0.296875
1870.0,0.30625
1872.5,0.296875
